name,address,detail,display_order,image_url
صاحب خان عاجز,پاکستان,صدر مجلس شوریٰ اور یارُوخیل قومی تڑون کے بانی۔ تنظیم کی پالیسی سازی اور اہم فیصلوں میں رہنمائی فراہم کرتے ہیں۔ قوم کی ترقی اور فلاح کے لیے اپنی خدمات پیش کر رہے ہیں۔,1,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=صاحب+خان+عاجز
شاہد حسین,پاکستان,نائب صدر اور مجلس شوریٰ کے فعال رکن۔ تنظیمی امور اور معاشرتی فلاح کے منصوبوں میں اہم کردار ادا کرتے ہیں۔ قوم کی خدمت میں ہمیشہ پیش پیش رہتے ہیں۔,2,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=شاہد+حسین
پیرزادہ حسن زئی,پاکستان,مجلس شوریٰ کے معزز رکن۔ تعلیمی اور مذہبی معاملات میں رہنمائی فراہم کرتے ہیں۔ قوم کے نوجوانوں کی تربیت اور رہنمائی میں خصوصی دلچسپی رکھتے ہیں۔,3,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=پیرزادہ+حسن+زئی
مصطفیٰ کمال یوسف زئی,پاکستان,شوریٰ کے فعال رکن اور تنظیمی امور میں معاون۔ نوجوانوں کی تعلیمی رہنمائی اور روزگار کے مواقع فراہم کرنے میں کوشاں۔ قوم کی ترقی کے لیے مسلسل کام کر رہے ہیں۔,4,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=مصطفیٰ+کمال
منیر یوسف زئی,پاکستان,مجلس شوریٰ کے رکن اور مالی امور میں ماہر۔ تنظیم کے مالی معاملات کی نگرانی اور شفافیت کی ذمہ داری ادا کرتے ہیں۔ قوم کے فلاحی منصوبوں میں معاون رہتے ہیں۔,5,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=منیر+یوسف+زئی
شمروز خان,پاکستان,شوریٰ کے فعال رکن اور میڈیا کمیونیکیشن کے ماہر۔ تنظیم کی سرگرمیوں کو عام کرنے اور عوامی آگاہی میں اہم کردار ادا کرتے ہیں۔ سوشل میڈیا اور جدید ذرائع ابلاغ کے ماہر۔,6,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=شمروز+خان
مولانا عبدالسلام,پاکستان,مجلس شوریٰ کے معزز رکن اور مذہبی رہنما۔ اسلامی تعلیمات کی روشنی میں تنظیم کی رہنمائی کرتے ہیں۔ قوم میں اخلاقی اقدار کے فروغ کے لیے کوشاں رہتے ہیں۔,7,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=مولانا+عبدالسلام
عبداللہ حسن زئی,پاکستان,شوریٰ کے رکن اور کمیونٹی کے فعال کارکن۔ مقامی معاملات اور قومی مسائل کے حل میں اہم کردار ادا کرتے ہیں۔ قوم کی خدمت کو اپنا فرض سمجھتے ہیں۔,8,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=عبداللہ+حسن+زئی
محمد خان صادق,پاکستان,مجلس شوریٰ کے معزز رکن اور کاروباری شخصیت۔ قوم کی اقتصادی ترقی اور روزگار کے مواقع فراہم کرنے میں معاون۔ تنظیم کے فلاحی منصوبوں میں فعال شرکت۔,9,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=محمد+خان+صادق
امیر محمد,پاکستان,شوریٰ کے فعال رکن اور معاشرتی خدمات کے لیے وقف۔ غریب اور ضرورت مند افراد کی مدد میں ہمیشہ پیش پیش۔ قوم کی فلاح اور بہبود ان کی ترجیح ہے۔,10,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=امیر+محمد
رومن خان یوسف زئی,پاکستان,مجلس شوریٰ کے رکن اور تعلیمی میدان سے وابستہ۔ نوجوانوں کی تعلیم اور تربیت میں خصوصی دلچسپی۔ جدید تعلیم اور روایتی اقدار کے امتزاج کے حامی۔,11,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=رومن+خان
مولانا شمین الرحمن,پاکستان,شوریٰ کے معزز رکن اور دینی عالم۔ اسلامی تعلیمات کی تبلیغ اور قوم میں دینی شعور اجاگر کرنے میں کوشاں۔ اخلاقی تربیت ان کی خاص توجہ کا مرکز ہے۔,12,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=مولانا+شمین
گلروز حسن زئی,پاکستان,مجلس شوریٰ کے فعال رکن اور کمیونٹی لیڈر۔ مقامی مسائل کے حل اور قوم میں اتحاد پیدا کرنے میں اہم کردار۔ نوجوانوں کی رہنمائی اور حوصلہ افزائی کرتے ہیں۔,13,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=گلروز+حسن+زئی
حیات خان,پاکستان,شوریٰ کے معزز رکن اور تجربہ کار شخصیت۔ تنظیم کی پالیسی سازی میں اپنے تجربے سے فائدہ پہنچاتے ہیں۔ قوم کی روایات اور ثقافت کے تحفظ کے لیے کوشاں۔,14,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=حیات+خان
نصیب غفار,پاکستان,مجلس شوریٰ کے رکن اور سماجی کارکن۔ غریبوں اور مظلوموں کی مدد میں ہمیشہ آگے۔ فلاحی کاموں اور خیراتی سرگرمیوں میں فعال شرکت کرتے ہیں۔,15,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=نصیب+غفار
علی دوست حسن زئی,پاکستان,شوریٰ کے رکن اور قوم کے وفادار خادم۔ تنظیمی معاملات اور قومی مسائل میں اپنی رائے سے تنظیم کی مدد کرتے ہیں۔ قوم کی ترقی اور خوشحالی ان کا مقصد ہے۔,16,https://via.placeholder.com/400x500/2c5f2d/ffffff?text=علی+دوست
